FROM,TO,TIMING
 WAGHOLI,TULAPUR, 6.20AM 7.00AM 8.10AM 8.50AM 10.20AM 11.20AM 12.00PM 1.10PM 3.00PM 3.50PM 5.00PM 5.50PM 7.30PM 8.20PM
 TULAPUR,WAGHOLI, 7.10AM 7.50AM 9.00AM 9.50AM 11.10AM 12.20PM 12.50PM 2.00PM 4.00PM 4.50PM 6.00PM 6.50PM 8.30PM 9.20PM
 MANAPA,SOMESHWARWADI, 8.20AM 9.50AM 5.40PM 7.10PM
 SOMESHWARWADI,MANAPA,9.05AM 10.40AM 6.25PM 7.55PM
 MANAPA,MHALUNGE PADALE CHOWK, 11.35PM 1.45PM
 MHALUNGE PADALE CHOWK,MANAPA, 12.45PM 2.55PM
 MANAPA,DEHUGAON KRIDA SANKUL,4.50AM 6.20AM 8.00AM 9.50AM 1.35PM 3.25PM 5.40PM 7.45PM
 DEHUGAON KRIDA SANKUL,MANAPA, 6.30AM 8.05AM 9.35AM 11.40AM 3.15PM 5.15PM 7.30PM 9.35PM
 BHOSARI,PABALGAON, 6.30PM
 PABALGAON,BHOSARI, 6.40AM
WARAJE MALWADI,CHINCHWADGAON,5.30AM 5.40AM 6.00AM 6.20AM 6.35AM 6.40AM 7.00AM 7.15AM 7.30AM 7.40AM 7.50AM 8.00AM 8.10AM 8.25AM 8.40AM 8.55AM 9.00AM 9.15AM 9.35AM 9.45AM 10.00AM 10.15AM 10.25AM 10.45AM 11.00AM 11.10AM 11.20AM 11.30AM 11.45AM 12.05PM 12.20PM 12.40PM 1.05PM 1.20PM 1.35PM 1.50PM 2.05PM 2.20PM 2.35PM 2.50PM 3.05PM 3.20PM 3.35PM 3.55PM 4.15PM 4.35PM 4.55PM 5.00PM 5.15PM 5.25PM 5.35PM 5.45PM 6.00PM 6.15PM 6.30PM 6.45PM 7.00PM 7.15PM 7.30PM 7.50PM 8.10PM 8.35PM 9.05PM 9.35PM
 CHINCHWADGAON,WARAJE MALWADI, 6.20AM 6.50AM 7.05AM 7.20AM 7.40AM 7.55AM 8.00AM 8.20AM 8.35AM 8.50AM 9.00AM 9.10AM 9.20AM 9.35AM 9.50AM 10.05AM 10.25AM 10.45AM 11.00AM 11.15AM 11.30AM 11.45AM 12.00PM 12.15PM 12.30PM 12.45PM 1.00PM 1.15PM 1.30PM 1.45PM 2.05PM 2.25PM 2.45PM 3.00PM 3.15PM 3.30PM 3.40PM 3.50PM 4.00PM 4.15PM 4.30PM 4.45PM 5.00PM 5.15PM 5.30PM 5.50PM 6.10PM 6.30PM 6.45PM 7.00PM 7.10PM 7.20PM 7.30PM 7.45PM 8.00PM 8.15PM 8.30PM 8.45PM 9.00PM 9.15PM 9.30PM 9.55PM 10.20PM 10.45PM
 BHOSARI,KOTHRUD DEPO, 6.00AM 7.00AM 8.00AM 9.00AM 10.00AM 11.00AM 12.00PM 1.00PM 2.00PM 3.00PM 4.00PM 5.00PM 6.00PM 7.00PM 8.00PM 9.00PM
 KOTHRUD DEPO,BHOSARI, 7.45AM 8.45AM 9.45AM 10.45AM 11.45AM 12.45PM 1.45PM 2.45PM 3.45PM 4.45PM 5.45PM 6.45PM 7.45PM 8.45PM 9.45PM 10.45PM
 MARKETYARD,KHAMBOLI KATARKHADAK,9.30AM 2.10PM 7.25PM
 KHAMBOLI KATARKHADAK,MARKETYARD, 6.55AM 11.45AM 4.30PM
 WARAJE MALWADI,NIGDI,6.05AM 6.35AM 7.05AM 7.35AM 8.05AM 8.35AM 9.05AM 9.35AM 10.05AM 10.35AM 11.05AM 11.35AM 12.05PM 12.35PM 1.05PM 1.40PM 2.05PM 2.35PM 3.05PM 3.35PM 4.05PM 4.35PM 5.05PM 5.35PM 6.05PM 6.35PM 7.05PM 7.35PM 8.05PM 8.35PM 9.05PM 9.35PM
 NIGDI,WARAJE MALWADI, 6.25AM 6.55AM 7.25AM 7.40AM 7.55AM 8.15AM 8.45AM 9.20AM 10.10AM 10.45AM 11.15AM 11.45AM 12.00PM 12.20PM 12.50PM 1.25PM 2.20PM 2.50PM 3.20PM 3.40PM 3.55PM 4.20PM 4.55PM 5.25PM 6.15PM 6.50PM 7.20PM 7.50PM 8.10PM 8.40PM 9.10PM 9.45PM
 WARAJE MALWADI,BHOSARI, 5.55AM 6.35AM 7.20AM 7.50AM 8.35AM 9.15AM 9.55AM 10.35AM 11.20AM 11.50AM 12.30PM 1.15PM 1.55PM 2.35PM 3.20PM 3.50PM 4.35PM 5.15PM 5.55PM 6.40PM 7.20PM 7.50PM 8.35PM 9.20PM
 BHOSARI,WARAJE MALWADI, 7.35AM 8.15AM 8.55AM 9.35AM 10.15AM 10.55AM 11.40AM 12.25PM 1.05PM 1.45PM 2.25PM 3.05PM 3.40PM 4.25PM 5.00PM 5.40PM 6.20PM 7.00PM 7.40PM 8.30PM 9.05PM 9.35PM 10.15PM 11.00PM
 KUMBRE PARK,STATION, 7.45AM 9.50AM 2.55PM 5.00PM
 STATION,KUMBRE PARK, 8.40AM 11.00AM 3.50PM 6.15PM
 KATRAJ,JAMBHULWADI, 5.20AM 5.55AM 6.10AM 6.25AM 6.40AM 7.15AM 1.20PM 1.50PM 2.10PM 2.25PM 2.50PM 3.20PM
 JAMBHULWADI,SWARGATE, 5.40AM 6.15AM 6.30AM 6.45AM 7.00AM 7.20AM 7.35AM 7.50AM 8.05AM 8.20AM 8.40AM 9.00AM 9.20AM 9.35AM 9.50AM 10.05AM 10.25AM 11.10AM 11.30AM 11.50AM 12.10PM 12.30PM 12.50PM 1.10PM 1.40PM 2.20PM 2.40PM 2.55PM 3.10PM 3.25PM 3.40PM 4.00PM 4.20PM 4.35PM 4.50PM 5.10PM 5.25PM 5.45PM 6.05PM 6.20PM 6.45PM 7.30PM 7.50PM 8.10PM 8.30PM 8.50PM 9.10PM 9.30PM
 SWARGATE,JAMBHULWADI, 6.30AM 7.05AM 7.20AM 7.35AM 7.50AM 8.10AM 8.25AM 8.40AM 8.55AM 9.10AM 9.30AM 9.50AM 10.10AM 10.30AM 10.45AM 11.00AM 11.20AM 12.00PM 12.20PM 12.40PM 1.00PM 1.20PM 1.40PM 2.00PM 2.30PM 3.10PM 3.30PM 3.45PM 4.00PM 4.15PM 4.35PM 4.50PM 5.10PM 5.30PM 5.50PM 6.05PM 6.20PM 6.40PM 7.00PM 7.15PM 7.40PM 8.20PM 8.40PM 9.00PM 9.20PM 9.40PM 10.05PM 10.25PM
 JAMBHULWADI ,KATRAJ,12.50PM 1.30PM 1.50PM 2.10PM 2.30PM 2.50PM 9.05PM 9.50PM 10.10PM 10.30PM 10.55PM 11.15PM
 HADPASAR,KATRAJ , 5.00AM 5.20AM 5.40AM 6.00AM 6.20AM 6.40AM 6.50AM 7.00AM 7.10AM 7.20AM 7.30AM 7.35AM 7.40AM 7.50AM 8.00AM 8.10AM 8.20AM 8.30AM 8.40AM 8.50AM 9.00AM 9.10AM 9.20AM 9.30AM 9.40AM 9.50AM 10.00AM 10.10AM 10.30AM 10.50AM 11.00AM 11.10AM 11.20AM 11.30AM 11.40AM 11.50AM 12.00PM 12.10PM 12.20PM 12.30PM 12.40PM 12.50PM 1.00PM 1.10PM 1.20PM 1.30PM 1.40PM 1.50PM 2.00PM 2.10PM 2.20PM 2.30PM 2.40PM 2.50PM 3.00PM 3.10PM 3.20PM 3.30PM 3.35PM 3.40PM 3.50PM 4.00PM 4.10PM 4.20PM 4.30PM 4.40PM 4.50PM 5.00PM 5.10PM 5.20PM 5.30PM 5.40PM 5.50PM 6.00PM 6.10PM 6.30PM 6.50PM 7.00PM 7.10PM 7.20PM 7.30PM 7.40PM 7.50PM 8.00PM 8.10PM 8.20PM 8.35PM 8.45PM 8.55PM 9.10PM 9.30PM 9.50PM 10.10PM 10.30PM
 KATRAJ,HADAPSAR, 5.55AM 6.05AM 6.15AM 6.35AM 6.55AM 7.15AM 7.35AM 7.55AM 8.05AM 8.15AM 8.25AM 8.35AM 8.45AM 8.50AM 8.55AM 9.05AM 9.15AM 9.25AM 9.35AM 9.45AM 9.55AM 10.05AM 10.15AM 10.25AM 10.35AM 10.45AM 10.55AM 11.05AM 11.15AM 11.25AM 11.45AM 12.05PM 12.15PM 12.25PM 12.35PM 12.45PM 12.55PM 1.05PM 1.15PM 1.25PM 1.35PM 1.45PM 1.55PM 2.05PM 2.15PM 2.25PM 2.35PM 2.45PM 2.55PM 3.05PM 3.15PM 3.25PM 3.35PM 3.45PM 3.55PM 4.05PM 4.15PM 4.25PM 4.35PM 4.45PM 4.50PM 4.55PM 5.05PM 5.15PM 5.25PM 5.35PM 5.45PM 5.55PM 6.05PM 6.15PM 6.25PM 6.35PM 6.45PM 6.55PM 7.05PM 7.15PM 7.25PM 7.45PM 8.05PM 8.15PM 8.25PM 8.35PM 8.45PM 8.55PM 9.05PM 9.15PM 9.25PM 9.40PM 10.00PM 10.20PM 10.40PM 11.00PM 11.20PM 11.40PM
 KATRAJ,KONDHANPUR,7.00AM 10.05AM 10.50AM 12.30PM 1.40PM 7.50PM 8.20PM
 KONDHANPUR,KATRAJ,8.10AM 11.20AM 11.55AM 1.45PM 2.55PM 9.00PM 9.30PM
 KATRAJ,KALYANGAON,7.20AM 7.55AM 9.00AM 9.30AM 11.50AM 1.05PM 2.45PM 3.20PM 4.05PM 6.15PM 6.50PM 7.15PM 9.00PM
KALYANGAON,KATRAJ,5.50AM 8.30AM 9.05AM 10.20AM 11.15AM 1.00PM 2.15PM 4.00PM 4.35PM 5.30PM 7.30PM 8.00PM 8.30PM
KATRAJ,AVSARWADI, 5.15AM 5.50PM
 AVSARWADI,KATRAJ, 6.35AM 7.10PM
 KATRAJ,KUSGAON, 6.40AM 4.45PM
 KUSGAON,KATRAJ ,7.35AM 6.00PM
 KATRAJ,KONDHANPUR AARVI ,6.00AM 8.35AM 11.20AM 2.20PM 5.20PM
 KONDHANPUR AARVI,KATRAJ ,7.15AM 9.45AM 12.35PM 3.30PM 6.35PM
 KATARJ,SASWAD VIA KAPURVHOL,6.20AM 9.10AM 11.00AM 1.30PM 4.00PM 6.05PM 8.15PM
 SASWAD,KATRAJ VIA KAPURHOL, 6.20AM 8.05AM 11.15AM 12.50PM 3.30PM 6.00PM 8.15PM
 KATRAJ,PABEGAON, 6.50AM 8.25AM 10.25AM 11.40AM 12.55PM 2.55PM 4.15PM 5.40PM 7.40PM 9.15PM
 PABEGAON,KATRAJ, 5.55AM 7.40AM 8.55AM 10.30AM 12.35PM 1.50PM 3.10PM 5.00PM 6.25PM 7.50PM
 KATRAJ,VANGNIWADI, 9.40AM 2.05PM 6.40PM
 VANGNIWADI,KATRAJ, 7.00AM 11.35AM 4.05PM
 SHIVAJI NAGAR,RAJAS SOCIETY, 6.30AM 8.30AM 10.30AM 2.00PM 4.00PM 6.00PM 8.00PM
 RAJAS SOCIETY,SHIVAJI NAGAR, 7.30AM 9.30AM 12.00PM 3.00PM 5.00PM 7.00PM 9.30PM
 KATRAJ,CHINCHWADGAON, 5.50AM 6.05AM 6.20AM 6.35AM 6.45AM 6.55AM 7.05AM 7.15AM 7.25AM 7.35AM 7.50AM 8.05AM 8.20AM 8.35AM 8.50AM 9.05AM 9.20AM 9.35AM 9.50AM 10.05AM 10.20AM 10.35AM 10.50AM 11.05AM 11.20AM 11.30AM 11.40AM 11.50AM 12.00PM 12.10PM 12.25PM 12.40PM 12.55PM 1.10PM 1.25PM 1.45PM 2.15PM 2.30PM 2.45PM 3.00PM 3.15PM 3.30PM 3.45PM 3.55PM 4.05PM 4.15PM 4.25PM 4.35PM 4.45PM 5.00PM 5.15PM 5.30PM 5.45PM 6.00PM 6.15PM 6.30PM 6.45PM 7.00PM 7.15PM 7.30PM 7.45PM 8.00PM 8.10PM 8.20PM 8.30PM 8.40PM 8.50PM 9.05PM 9.20PM 9.35PM 9.55PM 10.15PM
CHINCHWADGAON,KATRAJ, 5.50AM 6.05AM 6.20AM 6.35AM 6.45AM 6.55AM 7.05AM 7.15AM 7.25AM 7.35AM 7.50AM 8.05AM 8.20AM 8.35AM 8.50AM 9.05AM 9.20AM 9.35AM 9.50AM 10.05AM 10.20AM 10.35AM 10.50AM 11.05AM 11.20AM 11.30AM 11.40AM 11.50AM 12.00PM 12.10PM 12.25PM 12.40PM 12.55PM 1.10PM 1.25PM 1.45PM 2.15PM 2.30PM 2.45PM 3.00PM 3.15PM 3.30PM 3.45PM 3.55PM 4.05PM 4.15PM 4.25PM 4.35PM 4.45PM 5.00PM 5.15PM 5.30PM 5.45PM 6.00PM 6.15PM 6.30PM 6.45PM 7.00PM 7.15PM 7.30PM 7.45PM 8.00PM 8.10PM 8.20PM 8.30PM 8.40PM 8.50PM 9.05PM 9.20PM 9.35PM 9.55PM 10.15PM
 KATRAJ,BHOSARI,6.00AM 6.15AM 6.30AM 6.45AM 7.00AM 7.15AM 7.25AM 7.35AM 7.45AM 7.55AM 8.15AM 8.30AM 8.45AM 8.55AM 9.05AM 9.20AM 9.35AM 9.50AM 10.00AM 10.15AM 10.30AM 10.50AM 11.05AM 11.20AM 11.35AM 11.50AM 12.05PM 12.20PM 12.35PM 12.55PM 1.15PM 1.40PM 2.00PM 2.15PM 2.30PM 2.45PM 3.00PM 3.10PM 3.20PM 3.30PM 3.45PM 4.00PM 4.15PM 4.30PM 4.45PM 4.55PM 5.05PM 5.15PM 5.30PM 5.45PM 6.05PM 6.20PM 6.35PM 6.50PM 7.05PM 7.25PM 7.40PM 8.00PM 8.15PM 8.35PM 8.55PM 9.20PM 9.45PM 10.15PM
 BHOSARI,KATRAJ, 6.00AM 6.15AM 6.35AM 6.45AM 6.55AM 7.05AM 7.15AM 7.35AM 7.45AM 8.00AM 8.15AM 8.35AM 8.45AM 8.55AM 9.05AM 9.15AM 9.35AM 9.45AM 10.00AM 10.15AM 10.30AM 10.45AM 11.05AM 11.25AM 11.35AM 11.55AM 12.10PM 12.25PM 12.35PM 12.55PM 1.15PM 1.35PM 1.55PM 2.15PM 2.25PM 2.45PM 3.00PM 3.15PM 3.20PM 3.35PM 3.45PM 4.00PM 4.15PM 4.35PM 4.45PM 5.05PM 5.15PM 5.25PM 5.35PM 5.45PM 6.00PM 6.15PM 6.35PM 6.45PM 7.05PM 7.25PM 7.45PM 8.05PM 8.25PM 8.35PM 9.00PM 9.20PM 9.50PM 10.15PM
 KATRAJ,SHEWALEWADI," 5.00AM 5.15AM 5.25AM 5.35AM 5.45AM 5.55AM 6.05AM 6.15AM 6.25AM 6.35AM 6.45AM 6.55AM 7.05AM 7.15AM 7.25AM 7.35AM 7.50AM 8.05AM 8.15AM 8.25AM 8.35AM 8.45AM 8.55AM 9.05AM 9.15AM 9.30AM 9.45AM 10.05AM 10.25AM 10.45AM 10.55AM 11.10AM 11.25AM 11.35AM 11.45AM 11.55AM 12.05PM 12.15PM 12.25PM 12.35PM 12.50PM 1.05PM 1.15PM 1.25PM 1.35PM 1.55PM 2.10PM 2.20PM 2.30PM 2.40PM 2.50PM 3.00PM 3.10PM 3.20PM 3.30PM 3.40PM 3.50PM 4.00PM 4.10PM 4.25PM 4.40PM 4.55PM 5.05PM 5.15PM 5.25PM 5.35PM 5.45PM 5.55PM 6.05PM 6.15PM 6.30PM 6.45PM 7.05PM 7.25PM 7.45PM 8.00PM 8.15PM 8.25PM 8.35PM 8.45PM, 8.55PM 9.05PM 9.15PM 9.25PM 9.35PM 9.50PM 10.00PM 10.15PM 10.25PM 10.35PM"
 SHEWALWADI,KATRAJ, 5.30AM 6.00AM 6.15AM 6.30AM 6.40AM 6.50AM 7.00AM 7.10AM 7.20AM 7.30AM 7.40AM 7.50AM 8.00AM 8.20AM 8.30AM 8.40AM 8.55AM 9.05AM 9.15AM 9.30AM 9.40AM 9.50AM 10.00AM 10.10AM 10.20AM 10.30AM 10.40AM 10.55AM 11.15AM 11.30AM 11.55AM 12.10PM 12.20PM 12.35PM 12.50PM 1.00PM 1.10PM 1.20PM 1.30PM 1.40PM 1.50PM 2.00PM 2.20PM 2.30PM 2.40PM 2.50PM 3.05PM 3.15PM 3.30PM 3.40PM 3.50PM 4.00PM 4.10PM 4.20PM 4.30PM 4.40PM 4.50PM 5.05PM 5.15PM 5.25PM 5.35PM 5.55PM 6.05PM 6.20PM 6.30PM 6.40PM 6.50PM 7.00PM 7.10PM 7.20PM 7.30PM 7.40PM 8.00PM 8.10PM 8.30PM 8.50PM 9.10PM 9.25PM 9.40PM 9.50PM 10.00PM 10.10PM 10.20PM 10.30PM 10.40PM 10.50PM 11.00PM 11.20PM 11.35PM 11.50PM
 BHEKRAINAGAR,KATRAJ, 5.30AM 6.00AM 6.30AM 7.00AM 7.30AM 8.10AM 8.40AM 9.10AM 9.50AM 10.15AM 11.30AM 12.00PM 12.30PM 1.10PM 1.35PM 2.55PM 3.25PM 3.55PM 4.30PM 5.00PM 5.40PM 6.10PM 6.50PM 7.15PM 7.50PM 9.00PM 9.30PM 10.05PM 10.35PM 11.10PM
 KATRAJ,BHEKRAINAGAR, 6.45AM 7.15AM 7.45AM 8.25AM 8.50AM 9.35AM 10.05AM 10.35AM 11.20AM 11.40AM 12.55PM 1.25PM 1.55PM 2.35PM 3.00PM 4.15PM 4.45PM 5.20PM 5.50PM 6.25PM 7.05PM 7.35PM 8.20PM 8.40PM 9.15PM 10.25PM 10.55PM 11.25PM 12.00AM 12.30AM
SWARGATE,HADAPSAR (MAHILA), 8.05AM 9.35AM 11.10AM 3.00PM 4.30PM 6.10PM
 HADAPSAR,SWARGATE (MAHILA), 8.50AM 10.25AM 11.55AM 3.45PM 5.20PM 6.55PM
 BHOSARI,PIMPRIGAON, 5.35PM 5.50AM 6.25AM 6.45AM 7.05AM 7.30AM 7.45AM 7.55AM 8.05AM 8.15AM 8.30AM 8.45AM 8.55AM 9.05AM 9.15AM 9.25AM 9.40AM 9.55AM 10.05AM 10.15AM 10.25AM 10.35AM 10.50AM 11.15AM 11.35AM 11.55AM 12.05PM 12.15PM 12.30PM 12.45PM 1.05PM 1.25PM 2.00PM 2.15PM 2.35PM 2.50PM 3.05PM 3.15PM 3.25PM 3.35PM 3.50PM 4.00PM 4.15PM 4.25PM 4.35PM 4.45PM 4.55PM 5.10PM 5.25PM 5.35PM 5.45PM 5.55PM 6.05PM 6.20PM 6.35PM 6.45PM 6.55PM 7.05PM 7.15PM 7.25PM 7.55PM 8.10PM 8.30PM 9.05PM 9.45PM
 PIMPRIGAON,BHOSARI, 5.50AM 6.10AM 6.30AM 7.00AM 7.20AM 7.40AM 8.10AM 8.20AM 8.30AM 8.40AM 8.50AM 9.10AM 9.20AM 9.30AM 9.40AM 9.50AM 10.00AM 10.20AM 10.40AM 11.00AM 11.20AM 11.30AM 11.40AM 11.50AM 12.00PM 12.10PM 12.30PM 12.50PM 1.20PM 1.40PM 2.00PM 2.15PM 2.30PM 2.50PM 3.00PM 3.10PM 3.25PM 3.40PM 3.50PM 4.00PM 4.10PM 4.20PM 4.35PM 4.50PM 5.00PM 5.10PM 5.20PM 5.30PM 5.45PM 6.00PM 6.10PM 6.20PM 6.30PM 6.40PM 6.55PM 7.10PM 7.20PM 7.25PM 7.40PM 7.50PM 8.50PM 9.10PM 9.35PM
 PIMPRI GAON,ALANDI, 7.30AM 9.35AM 4.15PM 6.35PM
 ALANDI,PIMPRI GAON, 8.30AM 11.05AM 5.20PM 7.45PM
 PIMPRIGAON,BOPAKHEL, 7.10AM 10.10AM 2.55PM 5.05PM
 BOPAKHEL,PIMPRIGAON, 8.25AM 11.10AM 4.00PM 6.15PM
 NIGDI,AKURDI STATION, 5.45AM 6.25AM 6.45AM 7.00AM 7.25AM 7.45AM 8.00AM 8.30AM 8.45AM 9.00AM 9.25AM 9.45AM 10.00AM 10.25AM 10.45AM 11.00AM 11.30AM 12.15PM 12.30PM 1.00PM 1.30PM 2.00PM 2.40PM 3.00PM 3.30PM 3.40PM 4.00PM 4.30PM 4.45PM 5.00PM 5.30PM 5.50PM 6.00PM 6.25PM 6.40PM 7.05PM 7.25PM 7.40PM 7.55PM 8.25PM 9.10PM
 AKURDI STATION,NIGDI,6.15AM 6.55AM 7.15AM 7.30AM 7.55AM 8.15AM 8.30AM 9.00AM 9.15AM 9.30AM 9.55AM 10.15AM 10.30AM 11.00AM 11.30AM 11.45AM 12.30PM 12.45PM 1.00PM 1.30PM 2.00PM 2.30PM 3.10PM 3.30PM 4.00PM 4.15PM 4.30PM 5.00PM 5.15PM 5.30PM 6.00PM 6.15PM 6.30PM 6.55PM 7.10PM 7.30PM 7.55PM 8.40PM 9.00PM 9.25PM 9.40PM
 NIGDI,GAHUNJEGAON, 8.10AM 9.55AM 11.45AM 4.20PM 6.10PM
 GAHUNJEGAON,NIGDI,9.00AM 10.45AM 12.35PM 5.15PM 7.05PM
 BHOSARI ,CHINCHWADGAON, 5.10AM 5.30AM 5.50AM 6.00AM 6.10AM 6.20AM 6.30AM 6.50AM 7.10AM 7.20AM 7.30AM 7.40AM 7.50AM 8.00AM 8.10AM 8.20AM 8.30AM 8.40AM 8.50AM 9.00AM 9.10AM 9.20AM 9.25AM 9.30AM 9.40AM 9.50AM 10.00AM 10.10AM 10.25AM 10.45AM 11.00AM 11.10AM 11.20AM 11.30AM 11.40AM 11.50AM 12.00PM 12.05PM 12.10PM 12.20PM 12.30PM 12.40PM 12.50PM 1.00PM 1.10PM 1.20PM 1.35PM 1.55PM 2.15PM 2.35PM 2.45PM 2.55PM 3.05PM 3.15PM 3.25PM 3.30PM 3.35PM 3.45PM 3.55PM 4.05PM 4.15PM 4.25PM 4.35PM 4.45PM 4.50PM 4.55PM 5.05PM 5.15PM 5.25PM 5.35PM 5.45PM 5.55PM 6.05PM 6.10PM 6.15PM 6.25PM 6.35PM 6.45PM 6.55PM 7.10PM 7.30PM 7.45PM 8.05PM 8.25PM 8.35PM 8.45PM 9.00PM 9.10PM 9.25PM 9.45PM 10.00PM 10.15PM 10.30PM
 CHINCHWADGAON,BHOSARI, 5.50AM 6.10AM 6.30AM 6.40AM 6.50AM 7.00AM 7.10AM 7.30AM 7.50AM 8.00AM 8.10AM 8.20AM 8.30AM 8.40AM 8.50AM 9.00AM 9.10AM 9.20AM 9.30AM 9.40AM 9.50AM 10.00AM 10.05AM 10.10AM 10.20AM 10.30AM 10.40AM 10.50AM 11.05AM 11.25AM 11.40AM 11.50AM 12.00PM 12.10PM 12.20PM 12.30PM 12.40PM 12.45PM 12.50PM 1.00PM 1.10PM 1.20PM 1.30PM 1.40PM 1.50PM 2.00PM 2.15PM 2.35PM 2.55PM 3.15PM 3.25PM 3.35PM 3.45PM 3.55PM 4.05PM 4.10PM 4.15PM 4.25PM 4.35PM 4.45PM 4.55PM 5.05PM 5.15PM 5.25PM 5.30PM 5.35PM 5.45PM 5.55PM 6.05PM 6.15PM 6.25PM 6.35PM 6.45PM 6.50PM 6.55PM 7.05PM 7.15PM 7.25PM 7.35PM 7.50PM 8.10PM 8.25PM 8.45PM 9.05PM 9.15PM 9.25PM 9.40PM 9.50PM 10.05PM 10.25PM 10.40PM 10.50PM 11.10PM
 NIGDI,WADGAON MAVAL, 5.00AM 5.40AM 6.00AM 6.20AM 6.40AM 7.10AM 7.35AM 7.55AM 8.15AM 8.50AM 9.00AM 9.40AM 9.55AM 10.25AM 10.40AM 11.30AM 12.15PM 12.25PM 12.55PM 1.15PM 1.30PM 2.10PM 2.30PM 2.50PM 3.15PM 3.30PM 4.10PM 4.30PM 4.50PM 5.05PM 5.30PM 6.05PM 6.30PM 6.50PM 7.15PM 7.35PM 8.15PM 9.00PM 9.20PM 9.50PM
 WADGAON MAVAL,NIGADI,6.00AM 6.30AM 7.00AM 7.20AM 7.40AM 8.00AM 8.40AM 9.00AM 9.20AM 9.40AM 10.00AM 10.40AM 11.00AM 11.20AM 11.40AM 12.30PM 1.10PM 1.30PM 1.50PM 2.10PM 2.30PM 3.10PM 3.30PM 3.50PM 4.10PM 4.30PM 5.10PM 5.30PM 5.50PM 6.10PM 6.30PM 7.10PM 7.30PM 7.50PM 8.10PM 9.00PM 9.40PM 10.00PM 10.20PM 10.40PM
 NIGADI,GREENBASE PARK NAVALAKH UMBRE, 5.45AM 6.50AM 8.05AM 9.10AM 2.40PM 3.45PM 5.20PM 7.25PM
 GREENBASE PARK NAVALAKH UMBRE,NIGADI, 6.50AM 7.55AM 9.20AM 10.35AM 4.00PM 5.45PM 6.40PM 8.45PM
 NIGDI,MINDEWADI NAVALAKH UMBRE, 6.30AM 9.30AM 1.50PM 4.40PM
 MINDEWADI NAVALAKH UMBRE,NIGDI, 8.05AM 11.00AM 3.15PM 6.10PM
 DANGE CHOUK,MEGAPOLIS, 7.20AM 7.40AM 8.05AM 8.30AM 8.45AM 9.15AM 9.35AM 10.00AM 10.20AM 10.40AM 11.05AM 11.30AM 3.50PM 4.15PM 4.40PM 5.00PM 5.25PM 5.45PM 6.15PM 6.35PM
 MEGAPOLIS,DANGE CHOUK,8.00AM 8.25AM 8.50AM 9.20AM 9.30AM 10.00AM 10.20AM 10.45AM 3.05PM 3.25PM 3.50PM 4.10PM 4.40PM 5.00PM 5.30PM 5.45PM 6.10PM 6.30PM 7.00PM 7.20PM
 RADHA CHOWK,DANGE CHOWK,7.00AM 7.20AM 7.45AM 8.10AM
 DANGE CHOWK,RADHA CHOWK, 7.00PM 7.20PM 7.50PM 8.05PM
 DANGE CHOUK,HINJEWADI HILLS, 5.40AM 9.30AM 2.35PM 6.40PM
 HINJEWADI HILLS,DANGE CHOUK, 8.30AM 10.30AM 5.10AM 7.45AM
CHINCHAWADGAON,ISKCON MANDIR SHINDE VASTI RAVET,7.15AM 8.25AM 9.35AM 10.50AM 12.05PM 4.00PM 5.15PM 6.35PM
ISKCON MANDIR SHINDE VASTI RAVET,CHINCHAWADGAON,7.50AM 9.00AM 10.15AM 11.30AM 12.45PM 4.35PM 5.55PM 7.10PM
 BALEWADI,CHINCHWADGAON,6.45AM
 CHINCHWADGAON,BALEWADI, 7.45PM
 NIGDI,GHARKUL VASAHAT CHIKALI, 6.00AM 6.30AM 7.00AM 7.30AM 8.00AM 8.30AM 9.00AM 9.30AM 10.00AM 10.30AM 11.00AM 12.30PM 2.40PM 3.40PM 4.10PM 4.40PM 5.10PM 5.40PM 6.10PM 6.40PM 7.10PM 7.40PM 9.10PM
 GHARKUL VASAHAT CHIKHALI,NIGDI, 6.30AM 7.00AM 7.30AM 8.00AM 8.30AM 9.00AM 9.30AM 10.00AM 10.30AM 11.00AM 11.30AM 1.00PM 3.10PM 4.10PM 4.40PM 5.10PM 5.40PM 6.10PM 6.40PM 7.10PM 7.40PM 8.10PM 9.40PM
 ALANDI,DEHU, 5.30AM 5.50AM 6.10AM 6.30AM 6.50AM 7.10AM 7.25AM 7.40AM 7.50AM 8.00AM 8.15AM 8.25AM 8.40AM 8.55AM 9.05AM 9.15AM 9.25AM 9.35AM 9.50AM 10.00AM 10.10AM 10.20AM 10.35AM 10.45AM 11.00AM 11.15AM 11.25AM 11.35AM 11.45AM 11.55AM 12.10PM 12.30PM 12.50PM 1.10PM 1.20PM 1.35PM 1.50PM 2.05PM 2.15PM 2.25PM 2.35PM 2.45PM 3.00PM 3.10PM 3.20PM 3.30PM 3.45PM 3.55PM 4.15PM 4.25PM 4.35PM 4.50PM 5.00PM 5.10PM 5.20PM 5.30PM 5.40PM 5.50PM 6.05PM 6.15PM 6.35PM 6.45PM 6.55PM 7.10PM 7.25PM 7.40PM 7.50PM 8.05PM 8.25PM 8.50PM 9.15PM 9.45PM
